engine,category,best_test,candidate_test,best_energy,candidate_energy,ratio_to_best
hermes,loop-arr-length,inline,baseline,84944088.0,95692351.5,1.1265333909995008
hermes,loop-arr-length,inline,hoist,84944088.0,85164729.5,1.0025974909519306
hermes,loop-arr-length,inline,inline,84944088.0,84944088.0,1.0
hermes,map-reduce,for,baseline,25983271.0,143377043.5,5.518052115147473
hermes,map-reduce,for,for,25983271.0,25983271.0,1.0
hermes,math-floor,double-not,baseline,37058956.5,150383557.0,4.057954438085702
hermes,math-floor,double-not,bitwise-or,37058956.5,37459651.0,1.0108123524740908
hermes,math-floor,double-not,double-not,37058956.5,37058956.5,1.0
hermes,math-floor,double-not,parseInt,37058956.5,2632246801.0,71.02862707426746
hermes,nested-lookup,map,baseline,1851985.0,175192910.5,94.59737011908844
hermes,nested-lookup,map,map,1851985.0,1851985.0,1.0
hermes,number-to-string,implicit,baseline,33927525.0,106300631.0,3.133167862966721
hermes,number-to-string,implicit,implicit,33927525.0,33927525.0,1.0
hermes,number-to-string,implicit,string,33927525.0,50866844.0,1.4992795377794284
hermes,number-to-string,implicit,toString,33927525.0,73090297.5,2.15430679072523
hermes,object-iteration,baseline,baseline,140177314.5,140177314.5,1.0
hermes,object-iteration,baseline,for-in,140177314.5,202305421.0,1.4432108485000261
hermes,object-merging,spread,baseline,48117339.5,114824810.0,2.386349935245277
hermes,object-merging,spread,spread,48117339.5,48117339.5,1.0
hermes,object-shape,defined,baseline,39340384.0,131511748.5,3.3429197971224682
hermes,object-shape,defined,defined,39340384.0,39340384.0,1.0
hermes,polymorphic,baseline,baseline,183522602.0,183522602.0,1.0
hermes,polymorphic,baseline,split,183522602.0,281561748.5,1.5342074787060833
hermes,prototype,function,baseline,46954988.0,128712836.0,2.741196228183468
hermes,prototype,function,function,46954988.0,46954988.0,1.0
hermes,regex,hoist,baseline,62658317.0,99798023.5,1.5927338664394703
hermes,regex,hoist,hoist,62658317.0,62658317.0,1.0
hermes,regex,hoist,inline,62658317.0,86849326.0,1.3860781801719955
hermes,replace-loop,replaceAll,baseline,110159722.0,158795583.0,1.4415031203510118
hermes,replace-loop,replaceAll,replace-regex,110159722.0,468913533.0,4.256669538436199
hermes,replace-loop,replaceAll,replaceAll,110159722.0,110159722.0,1.0
hermes,replace-loop,replaceAll,replaceAll-regex,110159722.0,486664220.5,4.417805452522837
hermes,replace-loop,replaceAll,split-join,110159722.0,135113576.0,1.2265243007784643
hermes,replace-size,replaceAll,baseline,95839537.5,181111230.5,1.8897339785263467
hermes,replace-size,replaceAll,replaceAll,95839537.5,95839537.5,1.0
hermes,search-string,baseline,baseline,145323633.5,145323633.5,1.0
hermes,search-string,baseline,indexOf,145323633.5,146408042.0,1.0074620244063743
hermes,string-from-array,join,baseline,122013847.5,141697574.0,1.161323709589602
hermes,string-from-array,join,concat,122013847.5,316474165.0,2.5937561308358874
hermes,string-from-array,join,join,122013847.5,122013847.5,1.0
hermes,string-from-array,join,literal,122013847.5,312098841.0,2.5578968895313294
hermes,substring,substr,baseline,104192452.0,108193876.0,1.0384041638640005
hermes,substring,substr,charAt,104192452.0,196915878.0,1.8899245983768576
hermes,substring,substr,substr,104192452.0,104192452.0,1.0
hermes,sum-array,reduce,baseline,125593184.0,140190772.5,1.116229145842819
hermes,sum-array,reduce,reduce,125593184.0,125593184.0,1.0
jsc,access-char,baseline,baseline,95692840.0,95692840.0,1.0
jsc,access-char,baseline,charAt,95692840.0,146565878.5,1.5316284739798713
jsc,array-max,for,baseline,12807828.5,187196481.0,14.615786040545437
jsc,array-max,for,for,12807828.5,12807828.5,1.0
jsc,array-max,for,max-apply,12807828.5,62817160.5,4.9045910085382545
jsc,even-odd,bitwise,baseline,69920963.5,91417643.0,1.307442552618715
jsc,even-odd,bitwise,bitwise,69920963.5,69920963.5,1.0
jsc,filter,for,baseline,132017209.5,135940143.0,1.0297153190470973
jsc,filter,for,for,132017209.5,132017209.5,1.0
jsc,flatten-array,flat,baseline,11139162.5,123269002.0,11.066271993069497
jsc,flatten-array,flat,flat,11139162.5,11139162.5,1.0
jsc,flatten-array,flat,spread-concat,11139162.5,27145133.0,2.4369096868817564
jsc,function,arrow,arrow,146123436.0,146123436.0,1.0
jsc,function,arrow,baseline,146123436.0,150374493.0,1.029092232679226
jsc,function,arrow,inline,146123436.0,154196047.0,1.0552451490396106
jsc,json,hoist,baseline,2078425.0,102880779.5,49.49939473399329
jsc,json,hoist,hoist,2078425.0,2078425.0,1.0
jsc,lookup,map,baseline,4772937.5,150663371.5,31.566173137611795
jsc,lookup,map,map,4772937.5,4772937.5,1.0
