category,test,engine,N,sample,energy_uj,time_s,mem_kb
access-char,charAt,v8,4194304,9,1087888,0.0566313,36224
access-char,charAt,v8,4194304,10,1091794,0.0566298,36352
access-char,charAt,v8,8388608,1,1718623,0.0913505,36480
access-char,charAt,v8,8388608,2,1706356,0.0911852,36224
access-char,charAt,v8,8388608,3,1711788,0.0911905,36480
access-char,charAt,v8,8388608,4,1695674,0.0912655,36736
access-char,charAt,v8,8388608,5,1711116,0.0912863,36608
access-char,charAt,v8,8388608,6,1711849,0.0917532,36224
access-char,charAt,v8,8388608,7,1694393,0.0910395,36736
access-char,charAt,v8,8388608,8,1715388,0.0913933,36480
access-char,charAt,v8,8388608,9,1697078,0.0914839,36608
access-char,charAt,v8,8388608,10,1679683,0.0914381,36992
access-char,charAt,v8,16777216,1,2924492,0.160947,36608
access-char,charAt,v8,16777216,2,2939384,0.16055,36608
access-char,charAt,v8,16777216,3,2918206,0.160056,36480
access-char,charAt,v8,16777216,4,2936882,0.160623,36736
access-char,charAt,v8,16777216,5,2930351,0.160519,36480
access-char,charAt,v8,16777216,6,2944450,0.160492,36608
access-char,charAt,v8,16777216,7,2923943,0.160848,36608
access-char,charAt,v8,16777216,8,2914300,0.16049,36608
access-char,charAt,v8,16777216,9,2922722,0.16097,36608
access-char,charAt,v8,16777216,10,2943473,0.160384,36608
access-char,charAt,v8,33554432,1,5370897,0.299024,36608
access-char,charAt,v8,33554432,2,5404832,0.29932,36224
access-char,charAt,v8,33554432,3,5401292,0.299318,36608
access-char,charAt,v8,33554432,4,5373644,0.299398,36352
access-char,charAt,v8,33554432,5,5374437,0.299127,36608
access-char,charAt,v8,33554432,6,5396471,0.299442,36864
access-char,charAt,v8,33554432,7,5374010,0.299401,36480
access-char,charAt,v8,33554432,8,5382982,0.298932,36480
access-char,charAt,v8,33554432,9,5393479,0.299578,36736
access-char,charAt,v8,33554432,10,5374009,0.298954,36736
access-char,charAt,v8,67108864,1,10288426,0.576288,36096
access-char,charAt,v8,67108864,2,10318699,0.577056,36480
access-char,charAt,v8,67108864,3,10272861,0.576341,36608
access-char,charAt,v8,67108864,4,10313572,0.576507,36480
access-char,charAt,v8,67108864,5,10315953,0.576403,36352
access-char,charAt,v8,67108864,6,10276829,0.576313,36864
access-char,charAt,v8,67108864,7,10325718,0.57665,36480
access-char,charAt,v8,67108864,8,10288365,0.576479,36224
access-char,charAt,v8,67108864,9,10296300,0.57648,36224
access-char,charAt,v8,67108864,10,10317967,0.576741,36480
access-char,charAt,v8,134217728,1,20121591,1.13044,36224
access-char,charAt,v8,134217728,2,20140085,1.13146,36608
access-char,charAt,v8,134217728,3,20161020,1.13139,36608
access-char,charAt,v8,134217728,4,20164560,1.13378,36608
access-char,charAt,v8,134217728,5,20164621,1.13154,36480
access-char,charAt,v8,134217728,6,20209177,1.13167,36608
access-char,charAt,v8,134217728,7,20139414,1.13186,36480
access-char,charAt,v8,134217728,8,20127146,1.13086,36864
access-char,charAt,v8,134217728,9,20121958,1.13142,36480
access-char,charAt,v8,134217728,10,20131418,1.13058,36736
access-char,charAt,v8,268435456,1,39763326,2.23843,36352
access-char,charAt,v8,268435456,2,39818196,2.24079,36480
access-char,charAt,v8,268435456,3,39827046,2.24039,36736
access-char,charAt,v8,268435456,4,39840047,2.24168,36608
access-char,charAt,v8,268435456,5,39814046,2.2407,36224
access-char,charAt,v8,268435456,6,39939229,2.24205,36352
access-char,charAt,v8,268435456,7,39844746,2.23973,36736
access-char,charAt,v8,268435456,8,39873555,2.24136,36608
access-char,charAt,v8,268435456,9,39820394,2.24102,37120
access-char,charAt,v8,268435456,10,39812276,2.23914,36224
access-char,charAt,v8,536870912,1,79201091,4.46039,36352
access-char,charAt,v8,536870912,2,79181438,4.461,36480
access-char,charAt,v8,536870912,3,79182720,4.45946,36608
access-char,charAt,v8,536870912,4,79229655,4.45959,36352
